cons,a,o,e,i1,i2,er,ai,ei,ao,ou,an,en,ang,eng,ong,i_ee,ia,iao,ie,iu,ian,in,iang,ing,iong,u,ua,uo,uai,ui,uan,un,uang,ueng,ü,üe,üan,ün
NA,a,o,e,,,er,ai,,ao,ou,an,en,ang,eng,,yi,ya,yao,ye,you,yan,yin,yang,ying,yong,wu,wa,wo,wai,wei,wan,wen,wang,weng,yu,yue,yuan,yun,
b,ba,bo,,,,,bai,bei,bao,,ban,ben,bang,beng,,bi,,biao,bie,,bian,bin,,bing,,bu,,,,,,,,,,,,
p,pa,po,,,,,pai,pei,pao,pou,pan,pen,pang,peng,,pi,,piao,pie,,pian,pin,,ping,,pu,,,,,,,,,,,,
m,ma,mo,me,,,,mai,mei,mao,mou,man,men,mang,meng,,mi,,miao,mie,miu,mian,min,,ming,,mu,,,,,,,,,,,,
f,fa,fo,,,,,,fei,,fou,fan,fen,fang,feng,,,,,,,,,,,,fu,,,,,,,,,,,,
d,da,,de,,,,dai,dei,dao,dou,dan,den,dang,deng,dong,di,,diao,die,diu,dian,,,ding,,du,,duo,,dui,duan,dun,,,,,,
t,ta,,te,,,,tai,tei,tao,tou,tan,,tang,teng,tong,ti,,tiao,tie,,tian,,,ting,,tu,,tuo,,tui,tuan,tun,,,,,,
n,na,,ne,,,,nai,nei,nao,nou,nan,nen,nang,neng,nong,ni,,niao,nie,niu,nian,nin,niang,ning,,nu,,nuo,,,nuan,,,,nü,nüe,,
l,la,,le,,,,lai,lei,lao,lou,lan,,lang,leng,long,li,lia,liao,lie,liu,lian,lin,liang,ling,,lu,,luo,,,luan,lun,,,lü,lüe,,
g,ga,,ge,,,,gai,gei,gao,gou,gan,gen,gang,geng,gong,,,,,,,,,,,gu,gua,guo,guai,gui,guan,gun,guang,,,,,
k,ka,,ke,,,,kai,kei,kao,kou,kan,ken,kang,keng,kong,,,,,,,,,,,ku,kua,kuo,kuai,kui,kuan,kun,kuang,,,,,
h,ha,,he,,,,hai,hei,hao,hou,han,hen,hang,heng,hong,,,,,,,,,,,hu,hua,huo,huai,hui,huan,hun,huang,,,,,
z,za,,ze,zi,,,zai,zei,zao,zou,zan,zen,zang,zeng,zong,,,,,,,,,,,zu,,zuo,,zui,zuan,zun,,,,,,
c,ca,,ce,ci,,,cai,,cao,cou,can,cen,cang,ceng,cong,,,,,,,,,,,cu,,cuo,,cui,cuan,cun,,,,,,
s,sa,,se,si,,,sai,,sao,sou,san,sen,sang,seng,song,,,,,,,,,,,su,,suo,,sui,suan,sun,,,,,,
zh,zha,,zhe,,zhi,,zhai,zhei,zhao,zhou,zhan,zhen,zhang,zheng,zhong,,,,,,,,,,,zhu,zhua,zhuo,zhuai,zhui,zhuan,zhun,zhuang,,,,,
ch,cha,,che,,chi,,chai,,chao,chou,chan,chen,chang,cheng,chong,,,,,,,,,,,chu,chua,chuo,chuai,chui,chuan,chun,chuang,,,,,
sh,sha,,she,,shi,,shai,shei,shao,shou,shan,shen,shang,sheng,,,,,,,,,,,,shu,shua,shuo,shuai,shui,shuan,shun,shuang,,,,,
r,,,re,,ri,,,,rao,rou,ran,ren,rang,reng,rong,,,,,,,,,,,ru,rua,ruo,,rui,ruan,run,,,,,,
j,,,,,,,,,,,,,,,,ji,jia,jiao,jie,jiu,jian,jin,jiang,jing,jiong,,,,,,,,,,ju,jue,juan,jun
q,,,,,,,,,,,,,,,,qi,qia,qiao,qie,qiu,qian,qin,qiang,qing,qiong,,,,,,,,,,qu,que,quan,qun
x,,,,,,,,,,,,,,,,xi,xia,xiao,xie,xiu,xian,xin,xiang,xing,xiong,,,,,,,,,,xu,xue,xuan,xun
